日期,賽事項目,類型,金額,盈虧金額,結算總分
2026-03-26 21:00,初始,初始,60000,0,60000
2026-03-26 21:51,埃及甲	21:30	67	El達克爾野	0-2	哈比,贏 (+),3265,3265,63265
2026-03-27 22:20,歐青U21外	22:00	18	波斯尼亞U21	0-0	斯洛文尼亞U21,輸 (-),5000,-5000,58265
2026-03-27 22:21,球會友誼	21:30	76	普羅夫迪夫	3-0	索菲亞,贏 (+),9090,9090,67355
2026-03-28 20:50,威超	20:30	21	[9]夏維科韋斯	0-0	布里頓費里[8] ,輸 (-),5000,-5000,62355
2026-03-29 18:50,南非後備	18:30	68	奧蘭多海盜	1-2	卡薩酋長後備隊,輸 (-),10000,-10000,52355
2026-03-30 21:21,國際友誼	21:00	中	突尼西亞U20	2-0	毛里塔尼亞（3.5大） ,輸 (-),5000,-5000,47355
2026-03-30 21:22,以甲	21:30	74	里雄萊錫安	0-1	卡法爾卡瑟姆,贏 (+),8470,8470,55825
2026-03-31 19:51,新加坡U23	19:30	中	芽籠國際	0-4	淡濱尼流浪隊 （5.5大）,贏 (+),3045,3045,58870
2026-04-01 20:21,匈女甲	20:00	中	[4]吉奧利女足	3-0	漢維特女足[7]   （4.5大）,贏 (+),3085,3085,61955
2026-04-02 20:30,丹麥丙	20:00	21	[12]歐德	0-0	桑比[10] ,贏 (+),3375,3375,65330
2026-04-03 20:45,英乙U21	20:00	30	[7]史雲斯U21	3-0	高車士打U21[18] ,贏 (+),3045,3045,68375
2026-04-04 12:30,日職聯	12:00	16	[10]千葉市原	0-0	東京綠茵[4],贏 (+),5000,5000,73375
2026-04-05 10:30,哥斯乙	10:00	72	AC科富帕	0-3	國際聖卡洛斯,輸 (-),5000,-3420,69955
2026-04-05 11:30,墨西聯春	11:10	35	[春18]拿根亞	0-0	阿美利加會[春8] ,輸 (-),5000,-8300,61655
2026-04-05 12:30,日職聯	12:00	10	[6]長崎成功丸	0-2	清水心跳[5] ,贏 (+),10000,6060,67715
2026-04-05 12:30,日職聯	12:00	11	長崎成功丸	0-2	清水心跳 （全場4大）,輸 (-),10000,-7090,60625
2026-04-05 19:45,土超	19:30	17	[18]卡拉古拉克	0-0	里澤士邦[11] ,贏 (+),10000,10100,70725
2026-04-05 19:45,巴拉後	18:30	70	奧林比亞會	1-4	國民會後備隊,輸 (-),10000,-6090,64635
2026-04-05 20:30,瑞典超	20:00	22	[7]AIK蘇納	1-0	咸史泰斯[11] ,輸 (-),10000,-9610,55025
2026-04-05 20:30,中超	19:00	74	[6]深圳新鵬城	4-1	武漢三鎮[12] ,贏 (+),10000,7810,62835
2026-04-05 20:45,奧甲	20:30	24	[3]林茨	3-1	奧地利維也納[4] ,贏 (+),10000,6840,69675
2026-04-05 20:45,泰超	19:30	68	[13]南奔戰士	2-0	阿尤塔亞聯[8],輸 (-),10000,-5740,63935
